date,open,high,low,close,volume,market_cap,symbol
"Mar 17, 2019",0.0516,0.051762,0.050015,0.050207,28870445,1301710902,ADA
"Mar 16, 2019",0.050112,0.051876,0.04974,0.051621,44616837,1338373269,ADA
"Mar 15, 2019",0.047986,0.050829,0.047956,0.050077,42730118,1298350928,ADA
"Mar 14, 2019",0.046575,0.048252,0.046348,0.048055,26216581,1245938291,ADA
"Mar 13, 2019",0.047366,0.048584,0.046211,0.04659,29855262,1207931190,ADA
"Mar 12, 2019",0.047665,0.048216,0.045893,0.047397,35348849,1228861553,ADA
"Mar 11, 2019",0.045697,0.048525,0.044979,0.047633,54732770,1234989220,ADA
"Mar 10, 2019",0.046754,0.046754,0.044463,0.045698,27465022,1184820250,ADA
"Mar 09, 2019",0.042686,0.046951,0.042656,0.046728,52185658,1211517758,ADA
"Mar 08, 2019",0.042952,0.043794,0.042461,0.042664,20315017,1106144503,ADA
"Mar 07, 2019",0.04285,0.043581,0.042513,0.042944,17201356,1113412524,ADA
"Mar 06, 2019",0.043185,0.04347,0.042354,0.042843,15221353,1110799547,ADA
"Mar 05, 2019",0.040599,0.043353,0.040299,0.043212,20952204,1120354028,ADA
"Mar 04, 2019",0.042303,0.042477,0.03983,0.040602,18487838,1052691797,ADA
"Mar 03, 2019",0.042853,0.042996,0.042158,0.042312,11011517,1097017920,ADA
"Mar 02, 2019",0.043217,0.043532,0.04248,0.042838,11304263,1110675717,ADA
"Mar 01, 2019",0.043112,0.044113,0.043078,0.043279,12997144,1122108426,ADA
"Feb 28, 2019",0.043245,0.043725,0.042948,0.043123,14678619,1118064552,ADA
"Feb 27, 2019",0.043329,0.043822,0.042097,0.04327,18346578,1121874468,ADA
"Feb 26, 2019",0.043965,0.044019,0.042798,0.043304,16641229,1122751733,ADA
"Feb 25, 2019",0.042168,0.044568,0.042168,0.044043,24692110,1141916266,ADA
"Feb 24, 2019",0.048727,0.05046,0.042064,0.042456,51650807,1100757852,ADA
"Feb 23, 2019",0.045982,0.048885,0.045719,0.048593,27665133,1259878821,ADA
"Feb 22, 2019",0.045041,0.046163,0.044838,0.046163,17691042,1196867488,ADA
"Feb 21, 2019",0.047584,0.047779,0.04474,0.044969,25111686,1165921115,ADA
"Feb 20, 2019",0.046177,0.047665,0.045291,0.047551,25594089,1232864520,ADA
"Feb 19, 2019",0.045682,0.048026,0.045656,0.046158,42563543,1196753168,ADA
"Feb 18, 2019",0.041468,0.04669,0.04138,0.045605,36845046,1182410903,ADA
"Feb 17, 2019",0.041027,0.041844,0.040612,0.041452,15275650,1074721071,ADA
"Feb 16, 2019",0.040619,0.041254,0.040569,0.041026,11097836,1063679166,ADA
"Feb 15, 2019",0.040536,0.041366,0.040253,0.0406,13336096,1052637738,ADA
"Feb 14, 2019",0.041136,0.041355,0.040222,0.04054,11428290,1051089780,ADA
"Feb 13, 2019",0.041755,0.04231,0.041048,0.041118,12736280,1066068502,ADA
"Feb 12, 2019",0.04168,0.041991,0.040635,0.041751,14893311,1082479800,ADA
"Feb 11, 2019",0.042772,0.042772,0.041485,0.041733,17847243,1082007683,ADA
"Feb 10, 2019",0.04105,0.042994,0.040007,0.04283,22634047,1110446760,ADA
"Feb 09, 2019",0.040775,0.04199,0.040456,0.041058,18529365,1064517700,ADA
"Feb 08, 2019",0.036399,0.041207,0.036228,0.040751,32705206,1056553129,ADA
"Feb 07, 2019",0.036651,0.037182,0.036332,0.036396,12424740,943648357,ADA
"Feb 06, 2019",0.037993,0.037993,0.03606,0.036663,17351384,950565914,ADA
"Feb 05, 2019",0.037824,0.038347,0.037444,0.037896,13348305,982536658,ADA
"Feb 04, 2019",0.03813,0.038595,0.037796,0.037857,12233074,981529402,ADA
"Feb 03, 2019",0.039259,0.039411,0.037812,0.038029,12940762,985988168,ADA
"Feb 02, 2019",0.038598,0.039317,0.038222,0.039317,12312317,1019386721,ADA
"Feb 01, 2019",0.038441,0.039136,0.037117,0.038678,18778624,1002816588,ADA
"Jan 31, 2019",0.039699,0.040287,0.037953,0.038374,22222102,994926538,ADA
"Jan 30, 2019",0.038177,0.040075,0.037798,0.039656,26151501,1028152445,ADA
"Jan 29, 2019",0.038713,0.03942,0.037044,0.038251,19526240,991726129,ADA
"Jan 28, 2019",0.041137,0.041318,0.037283,0.038772,30041137,1005243462,ADA
"Jan 27, 2019",0.042666,0.04268,0.040897,0.041168,20835107,1067363755,ADA
"Jan 26, 2019",0.042687,0.043539,0.042533,0.042649,13550564,1105756797,ADA
"Jan 25, 2019",0.043097,0.043248,0.042454,0.042691,12663796,1106850088,ADA
"Jan 24, 2019",0.042937,0.043487,0.042537,0.043027,12440167,1115551802,ADA
"Jan 23, 2019",0.043548,0.044112,0.042695,0.0429,15241102,1112274745,ADA
"Jan 22, 2019",0.042889,0.04408,0.041876,0.043578,22963399,1129838202,ADA
"Jan 21, 2019",0.043541,0.043671,0.042534,0.042937,16583935,1113231795,ADA
"Jan 20, 2019",0.045674,0.045981,0.042552,0.043477,26755022,1127226431,ADA
"Jan 19, 2019",0.044275,0.046441,0.043984,0.04575,23657402,1186172183,ADA
"Jan 18, 2019",0.045308,0.045308,0.043957,0.044316,18937100,1148980462,ADA
"Jan 17, 2019",0.044868,0.046222,0.044024,0.045318,38222964,1174964368,ADA
"Jan 16, 2019",0.042768,0.045247,0.042514,0.044777,35481507,1160927551,ADA
"Jan 15, 2019",0.044157,0.044385,0.042045,0.04281,24504027,1109941703,ADA
"Jan 14, 2019",0.040249,0.044484,0.040204,0.044059,30269131,1142310312,ADA
"Jan 13, 2019",0.043812,0.043812,0.039807,0.040241,21758341,1043328640,ADA
"Jan 12, 2019",0.044154,0.04463,0.043099,0.043704,18224445,1133124203,ADA
"Jan 11, 2019",0.044322,0.045157,0.042749,0.044147,35963011,1144607284,ADA
"Jan 10, 2019",0.052049,0.054636,0.042756,0.044529,91162431,1154512658,ADA
"Jan 09, 2019",0.048567,0.05274,0.048533,0.052169,55364234,1352599204,ADA
"Jan 08, 2019",0.04814,0.050021,0.046749,0.048525,34626383,1258115426,ADA
"Jan 07, 2019",0.049266,0.050744,0.047579,0.047996,45688431,1244393599,ADA
"Jan 06, 2019",0.044709,0.049637,0.044709,0.049261,51366407,1277183981,ADA
"Jan 05, 2019",0.043659,0.04557,0.04335,0.044701,25100965,1158975656,ADA
"Jan 04, 2019",0.042629,0.044092,0.042477,0.043812,16024029,1135911589,ADA
"Jan 03, 2019",0.045106,0.045259,0.042535,0.042682,21126963,1106608705,ADA
"Jan 02, 2019",0.042568,0.045563,0.041982,0.045258,24151526,1173420170,ADA
"Jan 01, 2019",0.040984,0.042547,0.040308,0.042547,14962902,1103113660,ADA
"Dec 31, 2018",0.043232,0.043364,0.040493,0.041063,19280457,1064641798,ADA
"Dec 30, 2018",0.041597,0.043665,0.040842,0.04328,27767174,1122116468,ADA
"Dec 29, 2018",0.041873,0.04394,0.04121,0.041508,30992034,1076193322,ADA
"Dec 28, 2018",0.037017,0.042634,0.036501,0.041862,26948333,1085348670,ADA
"Dec 27, 2018",0.041225,0.04169,0.036548,0.036944,22969395,957851765,ADA
"Dec 26, 2018",0.041603,0.043035,0.039076,0.041198,27218409,1068154537,ADA
"Dec 25, 2018",0.045675,0.045675,0.039243,0.041511,38493644,1076264960,ADA
"Dec 24, 2018",0.044286,0.049282,0.044286,0.045716,57936798,1185292600,ADA
"Dec 23, 2018",0.042203,0.044855,0.041819,0.04423,40656190,1146761807,ADA
"Dec 22, 2018",0.040658,0.042156,0.038613,0.042009,31227246,1089171594,ADA
"Dec 21, 2018",0.039079,0.04551,0.038632,0.040796,93581789,1057728023,ADA
"Dec 20, 2018",0.034212,0.039886,0.034026,0.039401,43040801,1021545369,ADA
"Dec 19, 2018",0.034863,0.038265,0.034491,0.034545,43168563,895652795,ADA
"Dec 18, 2018",0.03282,0.034912,0.032167,0.034735,78783798,900577014,ADA
"Dec 17, 2018",0.029175,0.03385,0.029099,0.032824,37555983,851032497,ADA
"Dec 16, 2018",0.028203,0.029697,0.028188,0.029103,10366601,754560639,ADA
"Dec 15, 2018",0.028395,0.028568,0.027791,0.028274,8387951,733050648,ADA
"Dec 14, 2018",0.029235,0.029557,0.027912,0.028358,9205271,735240139,ADA
"Dec 13, 2018",0.030635,0.030722,0.029029,0.02919,11234575,756817501,ADA
"Dec 12, 2018",0.029439,0.031115,0.029305,0.030609,11071814,793596929,ADA
"Dec 11, 2018",0.030117,0.030434,0.028915,0.029551,10444631,766165271,ADA
"Dec 10, 2018",0.031653,0.032068,0.029806,0.030203,12553718,783071164,ADA
"Dec 09, 2018",0.030643,0.032515,0.030227,0.031693,16588924,821695910,ADA
"Dec 08, 2018",0.029812,0.031807,0.028867,0.030678,19987029,795394849,ADA
"Dec 07, 2018",0.030797,0.030797,0.027393,0.029864,31750703,774280073,ADA
"Dec 06, 2018",0.034318,0.035501,0.030798,0.030798,27195357,798494898,ADA
"Dec 05, 2018",0.037659,0.037714,0.034251,0.034251,26250706,888035722,ADA
"Dec 04, 2018",0.038557,0.039842,0.037387,0.037699,23563420,977433742,ADA
"Dec 03, 2018",0.041874,0.041884,0.038027,0.038671,21282053,1002625724,ADA
"Dec 02, 2018",0.04135,0.043286,0.04069,0.041672,23206023,1080429209,ADA
"Dec 01, 2018",0.038991,0.042521,0.038157,0.041468,19314340,1075155852,ADA
"Nov 30, 2018",0.041984,0.042309,0.037721,0.038916,28861639,1008977118,ADA
"Nov 29, 2018",0.042269,0.044518,0.039716,0.041866,39544072,1085456214,ADA
"Nov 28, 2018",0.03651,0.044108,0.03651,0.042021,47624500,1089471060,ADA
"Nov 27, 2018",0.035682,0.036982,0.034029,0.036461,17966300,945329512,ADA
"Nov 26, 2018",0.037761,0.039378,0.034117,0.035806,31641100,928344688,ADA
"Nov 25, 2018",0.038628,0.038836,0.032798,0.037725,40704000,978106514,ADA
"Nov 24, 2018",0.04342,0.044301,0.036933,0.038458,25740400,997092908,ADA
"Nov 23, 2018",0.044062,0.044662,0.041671,0.043412,24258500,1125551172,ADA
"Nov 22, 2018",0.047885,0.048532,0.044255,0.044255,18689900,1147394729,ADA
"Nov 21, 2018",0.045149,0.04823,0.043027,0.04778,33938000,1238792838,ADA
"Nov 20, 2018",0.052658,0.052732,0.042868,0.044777,65556800,1160931252,ADA
"Nov 19, 2018",0.061903,0.061903,0.051989,0.052582,53737000,1363284259,ADA
"Nov 18, 2018",0.060803,0.062933,0.060803,0.061916,16669400,1605295314,ADA
"Nov 17, 2018",0.061062,0.061062,0.059554,0.060675,17926300,1573112041,ADA
"Nov 16, 2018",0.063242,0.064053,0.060242,0.061151,27544700,1585474069,ADA
"Nov 15, 2018",0.064847,0.065245,0.05825,0.063543,60267800,1647483843,ADA
"Nov 14, 2018",0.073439,0.073441,0.0618,0.064824,54964400,1680683457,ADA
"Nov 13, 2018",0.075883,0.075965,0.073252,0.073603,20329300,1908320544,ADA
"Nov 12, 2018",0.076818,0.077216,0.074949,0.076001,20975100,1970491066,ADA
"Nov 11, 2018",0.075165,0.077373,0.074438,0.076481,23663500,1982925689,ADA
"Nov 10, 2018",0.074167,0.075992,0.074056,0.075221,15012100,1950249802,ADA
"Nov 09, 2018",0.076324,0.077429,0.073912,0.074226,23756800,1924449774,ADA
"Nov 08, 2018",0.078391,0.079424,0.076263,0.076493,32149600,1983244592,ADA
"Nov 07, 2018",0.08102,0.08131,0.078017,0.078544,36852900,2036408050,ADA
"Nov 06, 2018",0.076337,0.080952,0.076337,0.080952,49473200,2084951304,ADA
"Nov 05, 2018",0.075961,0.07888,0.074745,0.076148,34358100,1974302345,ADA
"Nov 04, 2018",0.071492,0.077307,0.071291,0.076229,52924200,1976402438,ADA
"Nov 03, 2018",0.072561,0.072621,0.070822,0.071479,14948900,1853235890,ADA
"Nov 02, 2018",0.070814,0.07304,0.070788,0.072584,18823400,1881885303,ADA
"Nov 01, 2018",0.069698,0.071464,0.069119,0.070867,11256600,1837384079,ADA
"Oct 31, 2018",0.069723,0.069829,0.067883,0.069705,16366000,1807238674,ADA
"Oct 30, 2018",0.069632,0.070024,0.069226,0.069647,11418800,1805750460,ADA
"Oct 29, 2018",0.073042,0.073215,0.068899,0.069627,21315700,1805221548,ADA
"Oct 28, 2018",0.07303,0.073296,0.072361,0.073166,11226100,1896990414,ADA
"Oct 27, 2018",0.073687,0.073792,0.072868,0.072886,10316000,1889715278,ADA
"Oct 26, 2018",0.073748,0.07396,0.072679,0.073713,13464800,1911154372,ADA
"Oct 25, 2018",0.074289,0.074345,0.073163,0.073859,12567300,1914952688,ADA
"Oct 24, 2018",0.074612,0.075652,0.07415,0.074321,14151400,1926918031,ADA
