Date,Price,Open,High,Low,Vol.,Change %
"Sep 13, 2013",81.448,81.535,81.73,81.415,16.04K,-0.05%
"Sep 12, 2013",81.491,81.49,81.74,81.35,20.72K,-0.04%
"Sep 11, 2013",81.522,81.83,81.94,81.455,43.84K,-0.36%
"Sep 10, 2013",81.819,81.835,81.985,81.73,29.33K,0.03%
"Sep 09, 2013",81.796,82.25,82.33,81.685,31.87K,-0.45%
"Sep 06, 2013",82.167,82.67,82.7,81.935,39.06K,-0.61%
"Sep 05, 2013",82.668,82.225,82.71,82.1,44.64K,0.56%
"Sep 04, 2013",82.205,82.405,82.47,82.105,22.10K,-0.24%
"Sep 03, 2013",82.401,82.35,82.78,82.28,31.78K,0.32%
"Sep 02, 2013",82.142,82.12,82.36,82.065,9.81K,0.00%
"Aug 30, 2013",82.142,82.025,82.325,81.93,27.16K,0.17%
"Aug 29, 2013",82.003,81.5,82.27,81.42,41.84K,0.66%
"Aug 28, 2013",81.465,81.165,81.64,81.135,31.64K,0.33%
"Aug 27, 2013",81.2,81.385,81.615,81.14,34.09K,-0.30%
"Aug 26, 2013",81.441,81.4,81.555,81.305,16.70K,0.06%
"Aug 23, 2013",81.392,81.545,81.7,81.245,30.45K,-0.17%
"Aug 22, 2013",81.531,81.45,81.95,81.41,34.23K,0.38%
"Aug 21, 2013",81.223,80.945,81.55,80.925,37.47K,0.36%
"Aug 20, 2013",80.934,81.315,81.38,80.77,30.89K,-0.40%
"Aug 19, 2013",81.26,81.32,81.415,81.17,21.27K,-0.04%
"Aug 16, 2013",81.293,81.175,81.44,81.065,25.75K,0.11%
"Aug 15, 2013",81.207,81.675,81.995,81.115,38.71K,-0.67%
"Aug 14, 2013",81.758,81.795,81.905,81.66,20.07K,-0.07%
"Aug 13, 2013",81.815,81.515,81.925,81.435,26.37K,0.54%
"Aug 12, 2013",81.374,81.195,81.55,81.11,21.12K,0.25%
"Aug 09, 2013",81.17,81.1,81.225,80.97,18.62K,0.18%
"Aug 08, 2013",81.027,81.325,81.395,80.895,36.43K,-0.36%
"Aug 07, 2013",81.323,81.625,81.88,81.27,39.51K,-0.41%
"Aug 06, 2013",81.658,81.93,82.015,81.56,28.73K,-0.34%
"Aug 05, 2013",81.936,82.01,82.16,81.81,24.48K,-0.05%
"Aug 02, 2013",81.978,82.43,82.61,81.9,43.03K,-0.54%
"Aug 01, 2013",82.427,81.76,82.495,81.69,44.85K,1.09%
"Jul 31, 2013",81.539,81.93,82.295,81.48,62.80K,-0.46%
"Jul 30, 2013",81.919,81.805,82.09,81.69,34.46K,0.19%
"Jul 29, 2013",81.763,81.775,81.935,81.61,27.24K,0.00%
"Jul 26, 2013",81.764,81.88,81.92,81.64,25.30K,-0.35%
"Jul 25, 2013",82.053,82.45,82.5,81.71,26.39K,-0.42%
"Jul 24, 2013",82.4,82.12,82.515,82.02,34.34K,0.44%
"Jul 23, 2013",82.04,82.27,82.47,82.01,25.19K,-0.34%
"Jul 22, 2013",82.317,82.7,82.74,82.13,31.66K,-0.48%
"Jul 19, 2013",82.711,82.91,83.06,82.62,21.30K,-0.29%
"Jul 18, 2013",82.955,82.82,83.16,82.76,25.50K,0.14%
"Jul 17, 2013",82.84,82.685,83.055,82.475,52.42K,0.25%
"Jul 16, 2013",82.637,83.245,83.27,82.525,32.23K,-0.67%
"Jul 15, 2013",83.196,83.115,83.62,83.035,27.75K,0.04%
"Jul 12, 2013",83.163,82.93,83.4,82.885,32.22K,0.30%
"Jul 11, 2013",82.915,82.87,83.425,82.6,52.53K,-1.57%
"Jul 10, 2013",84.234,84.875,84.925,83.64,51.06K,-0.65%
"Jul 09, 2013",84.781,84.485,84.965,84.31,41.45K,0.43%
"Jul 08, 2013",84.414,84.83,84.835,84.355,31.40K,-0.32%
"Jul 05, 2013",84.689,84.125,84.93,84.065,50.50K,1.48%
"Jul 04, 2013",83.451,83.36,84.155,83.335,14.54K,0.00%
"Jul 03, 2013",83.451,83.79,83.935,83.275,33.94K,-0.37%
"Jul 02, 2013",83.764,83.205,83.835,83.17,31.75K,0.61%
"Jul 01, 2013",83.253,83.41,83.47,83.175,25.01K,-0.15%
"Jun 28, 2013",83.376,83.235,83.595,82.975,35.53K,0.27%
"Jun 27, 2013",83.152,83.13,83.43,83.015,30.55K,-0.09%
"Jun 26, 2013",83.228,82.92,83.275,82.735,29.40K,0.52%
"Jun 25, 2013",82.8,82.58,82.95,82.44,38.00K,0.20%
"Jun 24, 2013",82.633,82.71,83.05,82.525,42.42K,0.14%
"Jun 21, 2013",82.517,81.91,82.745,81.765,53.83K,0.51%
"Jun 20, 2013",82.096,81.555,82.32,81.44,58.00K,0.61%
"Jun 19, 2013",81.595,80.86,81.665,80.615,47.80K,1.05%
"Jun 18, 2013",80.749,80.81,81.155,80.71,43.94K,0.02%
"Jun 17, 2013",80.733,80.64,80.805,80.63,0.79K,0.10%
"Jun 14, 2013",80.65,80.755,81,80.595,14.58K,-0.11%
"Jun 13, 2013",80.742,80.865,80.98,80.505,28.56K,-0.25%
"Jun 12, 2013",80.946,81.1,81.31,80.745,66.88K,-0.20%
"Jun 11, 2013",81.11,81.72,81.75,81.025,59.58K,-0.66%
"Jun 10, 2013",81.651,81.8,82.09,81.59,54.89K,-0.01%
"Jun 07, 2013",81.66,81.585,81.855,81.08,74.33K,0.15%
"Jun 06, 2013",81.537,82.605,82.69,81.065,106.68K,-1.30%
"Jun 05, 2013",82.612,82.855,82.91,82.505,42.71K,-0.23%
"Jun 04, 2013",82.802,82.73,83,82.63,25.27K,0.14%
"Jun 03, 2013",82.688,83.355,83.415,82.455,50.02K,-0.85%
"May 31, 2013",83.401,83.1,83.65,83.05,40.09K,0.40%
"May 30, 2013",83.067,83.605,83.765,83.01,50.61K,-0.76%
"May 29, 2013",83.705,84.385,84.43,83.54,47.18K,-0.55%
"May 28, 2013",84.172,83.725,84.365,83.705,39.15K,0.49%
