date,median-confirmation-time
16/03/2020,12.95
17/03/2020,14.275
18/03/2020,14.90833333
19/03/2020,12.51666667
20/03/2020,18.36666667
21/03/2020,11.46666667
22/03/2020,7.341666667
23/03/2020,13.07916667
24/03/2020,11.51666667
25/03/2020,19.4625
26/03/2020,7.483333333
27/03/2020,7.116666667
28/03/2020,7.6
29/03/2020,6.266666667
30/03/2020,8.683333333
31/03/2020,7.083333333
01/04/2020,7.866666667
02/04/2020,8.1
03/04/2020,11.25
04/04/2020,5.483333333
05/04/2020,3.966666667
06/04/2020,9.925
07/04/2020,8.25
08/04/2020,8.041666667
09/04/2020,6.666666667
10/04/2020,6.341666667
11/04/2020,5.2
12/04/2020,5.116666667
13/04/2020,5.633333333
14/04/2020,6.583333333
15/04/2020,6.25
16/04/2020,7.65
17/04/2020,9.716666667
18/04/2020,6.408333333
19/04/2020,5.641666667
20/04/2020,6.733333333
21/04/2020,8.3
22/04/2020,8.25
23/04/2020,13.22083333
24/04/2020,9.466666667
25/04/2020,9.641666667
26/04/2020,7.541666667
27/04/2020,9.416666667
28/04/2020,8.15
29/04/2020,9.416666667
30/04/2020,12.85
01/05/2020,13.2
02/05/2020,8.408333333
03/05/2020,7.045833333
04/05/2020,7.470833333
05/05/2020,8.016666667
06/05/2020,8.675
07/05/2020,11.31666667
08/05/2020,14.25833333
09/05/2020,13.20833333
10/05/2020,5.3
11/05/2020,7.383333333
12/05/2020,11.375
13/05/2020,14.48333333
14/05/2020,11.34583333
15/05/2020,17.36666667
16/05/2020,13.29166667
17/05/2020,14.85833333
18/05/2020,11.59583333
19/05/2020,16.83333333
20/05/2020,16.65
21/05/2020,16.46666667
22/05/2020,13.86666667
23/05/2020,15.80833333
24/05/2020,10.2
25/05/2020,9.616666667
26/05/2020,11.95
27/05/2020,9.191666667
28/05/2020,11.41666667
29/05/2020,13.88333333
30/05/2020,7.679166667
31/05/2020,7.808333333
01/06/2020,13.27916667
02/06/2020,11.7
03/06/2020,13.16666667
04/06/2020,10.4
05/06/2020,6.366666667
06/06/2020,3.983333333
07/06/2020,5.833333333
08/06/2020,7.675
09/06/2020,7.8
10/06/2020,7.733333333
11/06/2020,6.3
12/06/2020,7.066666667
13/06/2020,7.683333333
14/06/2020,5.283333333
15/06/2020,10.65416667
16/06/2020,11.2875
17/06/2020,12.2
18/06/2020,9.508333333
19/06/2020,10.625
20/06/2020,9.883333333
21/06/2020,7.325
22/06/2020,7.791666667
23/06/2020,9.15
