date,tweets_volume
2016-06-27,35597
2016-06-28,35295
2016-06-29,35132
2016-06-30,35069
2016-07-01,32241
2016-07-02,29096
2016-07-03,36565
2016-07-04,33110
2016-07-05,46615
2016-07-06,43014
2016-07-07,44034
2016-07-08,39456
2016-07-09,35881
2016-07-10,27377
2016-07-11,36916
2016-07-12,29761
2016-07-13,30295
2016-07-14,29614
2016-07-15,29641
2016-07-16,24089
2016-07-17,23769
2016-07-18,28875
2016-07-19,33897
2016-07-20,28847
2016-07-21,27845
2016-07-22,26525
2016-07-23,22698
2016-07-24,23434
2016-07-25,31121
2016-07-26,35212
2016-07-27,33192
2016-07-28,37446
2016-07-29,29945
2016-07-30,22868
2016-07-31,23568
2016-08-01,29138
2016-08-02,35900
2016-08-03,63071
2016-08-04,38080
2016-08-05,36028
2016-08-06,27503
2016-08-07,28681
2016-08-08,36497
2016-08-09,33808
2016-08-10,36635
2016-08-11,32318
2016-08-12,42265
2016-08-13,36029
2016-08-14,43794
2016-08-15,46120
2016-08-16,40159
2016-08-17,34758
2016-08-18,35117
2016-08-19,36053
2016-08-20,29065
2016-08-21,28906
2016-08-22,49984
2016-08-23,38592
2016-08-24,34372
2016-08-25,33875
2016-08-26,36060
2016-08-27,39809
2016-08-28,32374
2016-08-29,40908
2016-08-30,32171
2016-08-31,33015
2016-09-01,33481
2016-09-02,35902
2016-09-03,27746
2016-09-04,28939
2016-09-05,33915
2016-09-06,36705
2016-09-07,36433
2016-09-08,38007
2016-09-09,40183
2016-09-10,32450
2016-09-11,28712
2016-09-12,33505
2016-09-13,36742
2016-09-14,35963
2016-09-15,39232
2016-09-16,33096
2016-09-17,29474
2016-09-18,29549
2016-09-19,31741
2016-09-20,37260
2016-09-21,32837
2016-09-22,35334
2016-09-23,30509
2016-09-24,25974
2016-09-25,29480
2016-09-26,35848
2016-09-27,32888
2016-09-28,33216
2016-09-29,34408
2016-09-30,29039
2016-10-01,27564
2016-10-02,26914
2016-10-03,31900
2016-10-04,31733
2016-10-05,31372
2016-10-06,30551
2016-10-07,31559
2016-10-08,30724
2016-10-09,29102
2016-10-10,32164
2016-10-11,36366
2016-10-12,37766
2016-10-13,33315
2016-10-14,31457
2016-10-15,30006
2016-10-16,24981
2016-10-17,26538
2016-10-18,26959
2016-10-19,27174
2016-10-20,27118
2016-10-21,22301
2016-10-22,21254
2016-10-23,22530
2016-10-24,26372
2016-10-25,23770
2016-10-26,25150
2016-10-27,27241
2016-10-28,30349
2016-10-29,27104
2016-10-30,24943
2016-10-31,31881
2016-11-01,30004
2016-11-02,29277
2016-11-03,26750
2016-11-04,24717
2016-11-05,21225
2016-11-06,24409
2016-11-07,27516
2016-11-08,26610
2016-11-09,32496
2016-11-10,25878
2016-11-11,26061
2016-11-12,22337
2016-11-13,24861
2016-11-14,32469
2016-11-15,30266
2016-11-16,31857
2016-11-17,30484
2016-11-18,33178
2016-11-19,27651
2016-11-20,25016
2016-11-21,31689
2016-11-22,33118
2016-11-23,32723
2016-11-24,27364
2016-11-25,26045
2016-11-26,25081
2016-11-27,24617
2016-11-28,29405
2016-11-29,30425
2016-11-30,30967
2016-12-01,33315
2016-12-02,31300
2016-12-03,24249
2016-12-04,24177
2016-12-05,28715
2016-12-06,28672
2016-12-07,30415
2016-12-08,29855
2016-12-09,27078
2016-12-10,24147
2016-12-11,23035
2016-12-12,26921
2016-12-13,32390
2016-12-14,31743
2016-12-15,30242
2016-12-16,29955
2016-12-17,25212
2016-12-18,24374
2016-12-19,32100
2016-12-20,30555
2016-12-21,37105
2016-12-22,39611
2016-12-23,42110
2016-12-24,32110
2016-12-25,26588
2016-12-26,30860
2016-12-27,35177
2016-12-28,39663
2016-12-29,35899
2016-12-30,30353
2016-12-31,27629
2017-01-01,32739
2017-01-02,45192
2017-01-03,45506
2017-01-04,53053
2017-01-05,57695
2017-01-06,46863
2017-01-07,36788
2017-01-08,31058
2017-01-09,38812
2017-01-10,36032
2017-01-11,47822
2017-01-12,43666
2017-01-13,36932
2017-01-14,38427
2017-01-15,36614
2017-01-16,42818
2017-01-17,45226
2017-01-18,47246
2017-01-19,48051
2017-01-20,41088
2017-01-21,37469
2017-01-22,39330
2017-01-23,46123
2017-01-24,42230
2017-01-25,41742
2017-01-26,43213
2017-01-27,44782
2017-01-28,35855
2017-01-29,35572
2017-01-30,41235
2017-01-31,43061
2017-02-01,40005
2017-02-02,42743
2017-02-03,44197
2017-02-04,44216
2017-02-05,41271
2017-02-06,47937
2017-02-07,53851
2017-02-08,52319
2017-02-09,53710
2017-02-10,47727
2017-02-11,46683
2017-02-12,47787
2017-02-13,48919
2017-02-14,47944
2017-02-15,44758
2017-02-16,49832
2017-02-17,44656
2017-02-18,41200
2017-02-19,40314
2017-02-20,47462
2017-02-21,48053
2017-02-22,47633
2017-02-23,53570
2017-02-24,64408
2017-02-25,43633
2017-02-26,48335
2017-02-27,44207
2017-02-28,45791
2017-03-01,47752
2017-03-02,58174
2017-03-03,73751
2017-03-04,46866
2017-03-05,43226
2017-03-06,56780
2017-03-07,54521
2017-03-08,52614
2017-03-09,52551
2017-03-10,80163
2017-03-11,58219
2017-03-12,48119
2017-03-13,53253
2017-03-14,55040
2017-03-15,39245
2017-03-16,40752
2017-03-17,41981
2017-03-18,37383
2017-03-19,36649
2017-03-20,45814
2017-03-21,48953
2017-03-22,44038
2017-03-23,42236
2017-03-24,42646
2017-03-25,37322
2017-03-26,33004
2017-03-27,36981
2017-03-28,38381
2017-03-29,36288
2017-03-30,35106
2017-03-31,32880
2017-04-01,29597
2017-04-02,29377
2017-04-03,35706
2017-04-04,37139
2017-04-05,38713
2017-04-06,39114
2017-04-07,37298
2017-04-08,30868
2017-04-09,32576
2017-04-10,36743
2017-04-11,41742
2017-04-12,37119
2017-04-13,37960
2017-04-14,43900
2017-04-15,37046
2017-04-16,41053
2017-04-17,45873
2017-04-18,45725
2017-04-19,44035
2017-04-20,51926
2017-04-21,47955
2017-04-22,42440
2017-04-23,39947
2017-04-24,48754
2017-04-25,51202
2017-04-26,51458
2017-04-27,52295
2017-04-28,48551
2017-04-29,43548
2017-04-30,42632
2017-05-01,63844
2017-05-02,67350
2017-05-03,54997
2017-05-04,61440
2017-05-05,52635
2017-05-06,48323
