date,open,high,low,close,volume_btc,volume_currency,weighted_price
2020-01-20,8698.97,8740.54,8507.93,8625.17,4420.19825219,38176413.572764,8636.8102502754
2020-01-21,8629.66,8778.66,8480,8717.89,3394.68916005,29315872.017271,8635.8045273398
2020-01-22,8728.47,8792.98,8567.68,8655.93,3143.81212331,27226881.825662,8660.467215514
2020-01-23,8661.63,8665.95,8280,8378.44,8611.0107876,72408778.792807,8408.8593753798
2020-01-24,8382.08,8530.7,8212.9,8422.13,6430.43023326,53848152.423028,8373.9579576666
2020-01-25,8435.83,8437.47,8252.72,8329.5,2812.78995216,23426249.239335,8328.4744462861
2020-01-26,8320,8600,8276.22,8590.48,6340.58577579,53453535.597617,8430.3781208538
2020-01-27,8600,9004.35,8546.55,8894.54,9619.7747426,84430635.621802,8776.7788623897
2020-01-28,8894.57,9413.24,8876,9400,9565.55935515,86973753.199289,9092.3855020003
2020-01-29,9386.57,9443.96,9215.5,9289.18,6481.91594603,60511710.824548,9335.4667552593
2020-01-30,9280.83,9570,9166.07,9500,7945.15877894,74656133.861611,9396.430699346
2020-01-31,9510.84,9529.35,9195.93,9327.85,5009.62230695,46781868.719909,9338.4023492166
2020-02-01,9339.26,9464.16,9280.33,9377.17,1669.00246242,15647313.655863,9375.2489934464
2020-02-02,9379.6,9474.28,9135,9329.39,3015.79158859,28176260.602849,9342.907085971
2020-02-03,9309.69,9615,9211.07,9288.09,4758.13350441,44541630.335257,9361.1560697014
2020-02-04,9281,9348.6,9075,9159.37,4867.22545881,44773399.10095,9198.9572868269
2020-02-05,9168.49,9775,9142.52,9618.42,8063.9679382800005,76512667.128506,9488.2156915949
2020-02-06,9617.84,9859.57,9521,9754.63,7554.48867469,73394159.764107,9715.3047578191
2020-02-07,9754.63,9878,9706.94,9803.42,4013.49096731,39274637.381182,9785.6548578471
2020-02-08,9803.71,9948.97,9658.58,9902,3268.73554695,32063962.558072,9809.2862201685
2020-02-09,9907.7,10178.54,9885.04,10173.97,4830.33787739,48619500.952606,10065.445148296
2020-02-10,10173.51,10199.85,9731.2,9850.01,7560.66789084,74963300.948291,9914.9046130054
2020-02-11,9851.99,10383.9,9706.94,10268.98,8127.59636283,81821348.980243,10067.102908116
2020-02-12,10270.98,10495,10247.35,10348.78,6553.40942709,67795650.927103,10345.096194792
2020-02-13,10348.78,10500.5,10068,10228.67,9347.45128374,95971600.409416,10267.141009481
2020-02-14,10229.19,10398,10093.26,10364.04,6190.37749036,63465786.546778,10252.328980843
2020-02-15,10364.04,10408.04,9739,9899.78,5762.30634481,57929002.533158,10053.09316561
2020-02-16,9909.71,10051.24,9598.49,9912.89,4133.47675014,40778597.95474,9865.4475202645
2020-02-17,9925.96,9973.45,9467.57,9697.15,5913.20492551,57252913.031541,9682.2135800753
2020-02-18,9725.57,10288,9602.6,10185.17,6754.35394103,67153716.791137,9942.2857282034
2020-02-19,10190.3,10300,9312,9595.72,9936.8206814,98785031.8601449,9941.31171603543
2020-02-20,9589.1,9706.27,9396.91,9612.76,6608.4910792,63258478.7363627,9572.30296269396
2020-02-21,9610.4,9773.2,9562.6,9696.13,4271.47074293,41404137.0354172,9693.18052896606
2020-02-22,9696.13,9722.39,9568.51,9668.13,2096.56353593,20253010.0746209,9660.09840748134
2020-02-23,9664.08,10024.08,9664.08,9965.21,3329.22433648,32927432.1173057,9890.42154849803
2020-02-24,9969.79,10027.66,9480,9652.58,5877.00770771,57123425.6469277,9719.81465533689
2020-02-25,9664.87,9682.73,9234.21,9305.4,6280.00295543,59384596.8936626,9456.14155202201
2020-02-26,9305.4,9369.99,8627.78,8779.36,11564.19794381,103821757.025066,8977.86059435613
2020-02-27,8778.37,8974.75,8520,8816.5,9273.9036636,81515059.4431832,8789.72462945991
2020-02-28,8816.5,8900.94,8421.49,8703.84,6546.98122765,56592181.7796162,8644.01161570607
2020-02-29,8710,8805.06,8525,8527.74,2338.06785643,20286638.540093,8676.66799502934
2020-03-01,8525,8756.11,8410,8528.95,4156.57173933,35511261.8302582,8543.40164377442
2020-03-02,8516,8980.34,8486.72,8917.34,6186.86088929,54353354.1324699,8785.28790368637
2020-03-03,8917.34,8921.8,8660.04,8755.45,4629.97228611,40663925.3841053,8782.75783768682
2020-03-04,8755.45,8850,8663.76,8753.28,3353.2325223,29341557.5791351,8750.23052651582
2020-03-05,8757.79,9169,8757.79,9066.65,6448.68567336,58265604.8220081,9035.26823499987
2020-03-06,9059,9187.85,8990.01,9153.79,4136.42339429,37642647.0322495,9100.28869003405
2020-03-07,9154.1,9219.13,8859.49,8893.93,2805.5915714,25374792.8036182,9044.36449777186
2020-03-08,8901.12,8901.12,7995.48,8033.7,9068.89040196,76135548.3658592,8395.24406970501
2020-03-09,8035.79,8191.13,7636,7936.25,12177.39425093,95866831.8328804,7872.52427386579
2020-03-10,7937.2,8158.42,7733.99,7885.92,8274.9537573,65746742.6960267,7945.27010353698
2020-03-11,7893.63,7988.78,7591.99,7934.57,7289.61145281,56863822.0338119,7800.66570103568
2020-03-12,7956.29,7969.9,4776.59,4841.67,58513.38918903,360210571.573404,6156.03670485963
2020-03-13,4841.67,5990.35,3850,5622.74,54419.64133553,284267182.432708,5223.61367066038
2020-03-14,5623.16,5663.01,5051,5169.37,15370.8681496,82874138.9236379,5391.63683645248
2020-03-15,5167.38,5965.77,5092.34,5343.64,16589.30386378,89752311.5941048,5410.25183040165
2020-03-16,5353.04,5353.04,4435.89,5033.42,34905.46359769,170219112.512668,4876.57503921344
2020-03-17,5051.41,5569.9,4936,5324.99,17517.84242049,93134794.1934408,5316.56764331344
2020-03-18,5340.95,5452.43,5006.87,5406.92,22559.23112903,118551265.569305,5255.11108473682
2020-03-19,5413,6433.98,5266.38,6181.18,24783.73487365,146253518.528668,5901.18960174014
2020-03-20,6192.94,7139,5670,6210.14,30082.50248252,193439601.271108,6430.30284410377
2020-03-21,6207.66,6461.91,5866.44,6187.78,11796.72656887,72583889.459356,6152.88394077857
2020-03-22,6199.17,6419,5705,5813.15,10813.38456907,65253784.1402575,6034.53837449802
2020-03-23,5816.57,6629.79,5686.34,6493.51,19053.80456405,118385188.512645,6213.2047232189
2020-03-24,6494.7,6893,6400.01,6768.64,19719.09402414,131376646.801573,6662.40784899863
2020-03-25,6768.64,6989.04,6457.17,6692.22,16675.73512097,111416237.444003,6681.3388816602
2020-03-26,6695.47,6798.89,6528.07,6760.72,7393.70723365,49294382.8603349,6667.0725932977
2020-03-27,6765.15,6872.67,6210,6376.03,10816.28556504,71901745.725749,6647.54506465205
2020-03-28,6376.03,6376.03,6030.51,6253.08,11613.49398164,72147462.5429254,6212.38213555581
2020-03-29,6275.11,6278.24,5869,5870.9,9298.9390511,56233063.8909471,6047.25588391669
2020-03-30,5878.47,6630,5856,6407.77,14974.444163,94589749.2919956,6316.74526696058
2020-03-31,6408.95,6527.24,6337.42,6421.14,6342.29832651,40889445.9832638,6447.10227715891
2020-04-01,6428.74,6710.21,6137.71,6652.07,11319.14793815,71960130.6904498,6357.38052754975
2020-04-02,6669.95,7236.39,6575.13,6801.99,17212.82067331,117398261.409424,6820.39647293022
2020-04-03,6789.63,7047.96,6610,6742.57,10570.10640235,72358605.2980478,6845.58911175775
2020-04-04,6737.36,7014,6655.54,6879.61,6018.51563233,40962523.5011038,6806.08409174234
2020-04-05,6887.22,6914.01,6678.51,6775.2,3981.97692417,27031800.4179216,6788.53768685667
2020-04-06,6780.57,7376.59,6773.75,7352.43,13683.03789416,97422008.8376131,7119.91076770998
2020-04-07,7335.85,7469,7077,7202.73,11669.01426524,85195615.0267316,7301.01215837185
2020-04-08,7204.78,7428.95,7152,7367.36,8720.21050049,63711657.2412142,7306.20633958713
2020-04-09,7370.85,7376.59,7107.38,7293.93,8324.9217727,60735239.870506,7295.59286306758
2020-04-10,7299.12,7306.1,6750.15,6877.03,10727.86685616,74421521.6516036,6937.21525904941
2020-04-11,6866.03,6955.59,6771.24,6883.18,3326.67476213,22836390.2272795,6864.62965578814
